key	publishingOrganizationKey	doi	type	title	createdby	created	modified	
bc76c690-60a3-11de-a447-b8a03c50a862	7050ce20-c75e-11dd-87ef-b8a03c50a862	doi:10.15468/zbmpzt	OCCURRENCE	Endemic Species Research Institute–Herbarium		2010-05-03T22:02:18.000+0000	2017-11-29T08:32:13.261+0000	
0a4f3e3b-1910-445a-afa7-9b93abe69ee1	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	doi:10.15468/wbw5v0	OCCURRENCE	PRECIS (KwaZulu-Natal Herbarium)		2011-03-01T09:20:21.000+0000	2016-08-18T12:32:37.996+0000	
bf2a4bf0-5f31-11de-b67e-b8a03c50a862	98e934b0-5f31-11de-b67e-b8a03c50a862	doi:10.15468/ypoair	OCCURRENCE	Royal Botanic Garden Edinburgh Herbarium (E)		2010-05-03T22:02:18.000+0000	2018-01-27T23:08:27.362+0000	
d5ccc1d6-b154-45a8-b0d5-1c772266d323	a4d6cc6b-4c62-4015-ad7b-1ba69847a616	doi:10.15468/lcjw3m	OCCURRENCE	Digital Florula - Palo Verde Biological Station		2012-04-11T08:28:41.000+0000	2016-08-18T12:32:37.996+0000	
0348540a-e644-4496-89d3-c257da9ad776	ff7bd5db-b724-4932-b496-10ea298851f9	doi:10.5886/rzav8bu2	OCCURRENCE	Marie-Victorin Herbarium (MT) - Plantes vasculaires		2011-12-13T16:10:31.000+0000	2018-01-29T20:17:59.028+0000	
1881d048-04f9-4bc2-b7c8-931d1659a354	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	doi:10.15468/rckmn2	OCCURRENCE	PRECIS		2011-03-01T09:22:42.000+0000	2016-08-18T12:32:37.996+0000	
f5de707d-eba1-4f1a-b1df-1a7fa27b1bc7	b6f05cf0-43ce-11d9-8439-b8a03c50a862	doi:10.15468/vtfbe3	OCCURRENCE	Instituto de Botánica Darwinion		2011-07-15T15:56:02.000+0000	2016-08-18T12:32:37.996+0000	
9d7fc836-8588-408a-bcc0-c22360bf4a24	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	doi:10.15468/qfcykq	OCCURRENCE	Precis Plant Data		2011-09-01T13:43:47.000+0000	2016-08-18T12:32:37.996+0000	
8d7c4dd0-c75e-11dd-87ef-b8a03c50a862	7050ce20-c75e-11dd-87ef-b8a03c50a862	doi:10.15468/1bq0x1	OCCURRENCE	Plantae, TAIF (Taiwan e-Learning and Digital Archives Program, TELDAP)		2010-05-03T22:02:18.000+0000	2016-08-18T12:32:37.996+0000	
96867b98-f762-11e1-a439-00145eb45e9a	a3c228d0-3110-11db-abb8-b8a03c50a862	doi:10.15468/oya7kn	OCCURRENCE	SINGER Coordinator		2009-04-30T12:18:20.000+0000	2016-08-18T12:32:37.996+0000	
